sheet,action,rule_id,match_key,changed_fields,old_values,new_values
工艺规范类,新增,R1-001,工艺规范类 | 加氢装置负荷与运行模式规则 | 航煤加氢反应系统正常操作 | 航煤加氢空速控制规则,"规则编号,规则名称,知识类型,子类型,适用范围,规则内容,来源文件,具体页码,原文内容,JSON,备注",,"{""规则编号"": ""R1-001"", ""规则名称"": ""航煤加氢空速控制规则"", ""知识类型"": ""工艺规范类"", ""子类型"": ""加氢装置负荷与运行模式规则"", ""适用范围"": ""航煤加氢反应系统正常操作"", ""规则内容"": ""航煤加氢主催化剂体积空速应控制在3.0～4.0 h-1范围内，避免偏离设计空速影响反应深度和催化剂运行。"", ""来源文件"": ""延炼-航煤加氢装置操作规程.pdf"", ""具体页码"": ""page=24"", ""原文内容"": ""主催化剂体积空速 h-1 3.0～4.0"", ""JSON"": ""{\""rule_id\"": \""R1-001\"", \""rule_name\"": \""航煤加氢空速控制规则\"", \""knowledge_type\"": \""工艺规范类\"", \""sub_type\"": \""加氢装置负荷与运行模式规则\"", \""applicable_scope\"": \""航煤加氢反应系统正常操作\"", \""rule_content\"": \""航煤加氢主催化剂体积空速应控制在3.0～4.0 h-1范围内，避免偏离设计空速影响反应深度和催化剂运行。\"", \""source_file\"": \""延炼-航煤加氢装置操作规程.pdf\"", \""locator\"": \""page=24\"", \""evidence_text\"": \""主催化剂体积空速 h-1 3.0～4.0\"", \""notes\"": \""由PDF文本重新抽取，未使用v1对应规则行。\""}"", ""备注"": ""由PDF文本重新抽取，未使用v1对应规则行。""}"
工艺规范类,新增,R1-002,工艺规范类 | 加氢装置负荷与运行模式规则 | 航煤加氢反应系统正常操作 | 航煤加氢反应压力规则,"规则编号,规则名称,知识类型,子类型,适用范围,规则内容,来源文件,具体页码,原文内容,JSON,备注",,"{""规则编号"": ""R1-002"", ""规则名称"": ""航煤加氢反应压力规则"", ""知识类型"": ""工艺规范类"", ""子类型"": ""加氢装置负荷与运行模式规则"", ""适用范围"": ""航煤加氢反应系统正常操作"", ""规则内容"": ""航煤加氢反应系统压力应控制在2.0～2.8 MPa(G)范围内，以保证加氢反应氢分压和系统稳定。"", ""来源文件"": ""延炼-航煤加氢装置操作规程.pdf"", ""具体页码"": ""page=24"", ""原文内容"": ""反应压力 PI-10203 MPa（G） 2.0～2.8"", ""JSON"": ""{\""rule_id\"": \""R1-002\"", \""rule_name\"": \""航煤加氢反应压力规则\"", \""knowledge_type\"": \""工艺规范类\"", \""sub_type\"": \""加氢装置负荷与运行模式规则\"", \""applicable_scope\"": \""航煤加氢反应系统正常操作\"", \""rule_content\"": \""航煤加氢反应系统压力应控制在2.0～2.8 MPa(G)范围内，以保证加氢反应氢分压和系统稳定。\"", \""source_file\"": \""延炼-航煤加氢装置操作规程.pdf\"", \""locator\"": \""page=24\"", \""evidence_text\"": \""反应压力 PI-10203 MPa（G） 2.0～2.8\"", \""notes\"": \""由PDF文本重新抽取，未使用v1对应规则行。\""}"", ""备注"": ""由PDF文本重新抽取，未使用v1对应规则行。""}"
工艺规范类,新增,R1-003,工艺规范类 | 加氢装置负荷与运行模式规则 | 航煤加氢反应系统正常操作 | 航煤加氢温度指标规则,"规则编号,规则名称,知识类型,子类型,适用范围,规则内容,来源文件,具体页码,原文内容,JSON,备注",,"{""规则编号"": ""R1-003"", ""规则名称"": ""航煤加氢温度指标规则"", ""知识类型"": ""工艺规范类"", ""子类型"": ""加氢装置负荷与运行模式规则"", ""适用范围"": ""航煤加氢反应系统正常操作"", ""规则内容"": ""航煤加氢反应入口温度和平均反应温度应控制在220～260℃范围内。"", ""来源文件"": ""延炼-航煤加氢装置操作规程.pdf"", ""具体页码"": ""page=24"", ""原文内容"": ""入口温度 TE-10204 ℃ 220～260；平均反应温度 TE-10214 ℃ 220～260"", ""JSON"": ""{\""rule_id\"": \""R1-003\"", \""rule_name\"": \""航煤加氢温度指标规则\"", \""knowledge_type\"": \""工艺规范类\"", \""sub_type\"": \""加氢装置负荷与运行模式规则\"", \""applicable_scope\"": \""航煤加氢反应系统正常操作\"", \""rule_content\"": \""航煤加氢反应入口温度和平均反应温度应控制在220～260℃范围内。\"", \""source_file\"": \""延炼-航煤加氢装置操作规程.pdf\"", \""locator\"": \""page=24\"", \""evidence_text\"": \""入口温度 TE-10204 ℃ 220～260；平均反应温度 TE-10214 ℃ 220～260\"", \""notes\"": \""由PDF文本重新抽取，未使用v1对应规则行。\""}"", ""备注"": ""由PDF文本重新抽取，未使用v1对应规则行。""}"
工艺规范类,新增,R1-004,工艺规范类 | 其他工艺约束规则 | 航煤加氢产品出装置冷却 | 航煤产品冷却温度规则,"规则编号,规则名称,知识类型,子类型,适用范围,规则内容,来源文件,具体页码,原文内容,JSON,备注",,"{""规则编号"": ""R1-004"", ""规则名称"": ""航煤产品冷却温度规则"", ""知识类型"": ""工艺规范类"", ""子类型"": ""其他工艺约束规则"", ""适用范围"": ""航煤加氢产品出装置冷却"", ""规则内容"": ""石脑油和航煤产品出装置前应经水冷器冷却至不超过40℃。"", ""来源文件"": ""延炼-航煤加氢装置操作规程.pdf"", ""具体页码"": ""page=23"", ""原文内容"": ""石脑油水冷器 E-1603 冷却至≯40℃后作为石脑油产品送出装置。冷器 EC-1602A/B 和航煤产品水冷器 E-1604 冷却至≯40℃"", ""JSON"": ""{\""rule_id\"": \""R1-004\"", \""rule_name\"": \""航煤产品冷却温度规则\"", \""knowledge_type\"": \""工艺规范类\"", \""sub_type\"": \""其他工艺约束规则\"", \""applicable_scope\"": \""航煤加氢产品出装置冷却\"", \""rule_content\"": \""石脑油和航煤产品出装置前应经水冷器冷却至不超过40℃。\"", \""source_file\"": \""延炼-航煤加氢装置操作规程.pdf\"", \""locator\"": \""page=23\"", \""evidence_text\"": \""石脑油水冷器 E-1603 冷却至≯40℃后作为石脑油产品送出装置。冷器 EC-1602A/B 和航煤产品水冷器 E-1604 冷却至≯40℃\"", \""notes\"": \""由PDF文本重新抽取，未使用v1对应规则行。\""}"", ""备注"": ""由PDF文本重新抽取，未使用v1对应规则行。""}"
工艺规范类,新增,R1-005,工艺规范类 | 加氢装置负荷与运行模式规则 | 航煤加氢开停工及正常调整 | 航煤加氢升降温速率规则,"规则编号,规则名称,知识类型,子类型,适用范围,规则内容,来源文件,具体页码,原文内容,JSON,备注",,"{""规则编号"": ""R1-005"", ""规则名称"": ""航煤加氢升降温速率规则"", ""知识类型"": ""工艺规范类"", ""子类型"": ""加氢装置负荷与运行模式规则"", ""适用范围"": ""航煤加氢开停工及正常调整"", ""规则内容"": ""航煤加氢装置在开工、停工和正常调整过程中，温度升降速度不应超过5℃/h。"", ""来源文件"": ""延炼-航煤加氢装置操作规程.pdf"", ""具体页码"": ""page=35"", ""原文内容"": ""过程中温度升降速度≯5℃/h。"", ""JSON"": ""{\""rule_id\"": \""R1-005\"", \""rule_name\"": \""航煤加氢升降温速率规则\"", \""knowledge_type\"": \""工艺规范类\"", \""sub_type\"": \""加氢装置负荷与运行模式规则\"", \""applicable_scope\"": \""航煤加氢开停工及正常调整\"", \""rule_content\"": \""航煤加氢装置在开工、停工和正常调整过程中，温度升降速度不应超过5℃/h。\"", \""source_file\"": \""延炼-航煤加氢装置操作规程.pdf\"", \""locator\"": \""page=35\"", \""evidence_text\"": \""过程中温度升降速度≯5℃/h。\"", \""notes\"": \""由PDF文本重新抽取，未使用v1对应规则行。\""}"", ""备注"": ""由PDF文本重新抽取，未使用v1对应规则行。""}"
工艺规范类,新增,R1-006,工艺规范类 | 变负荷约束规则 | 航煤加氢事故处理、开工和正常操作 | 航煤加氢量温调整顺序规则,"规则编号,规则名称,知识类型,子类型,适用范围,规则内容,来源文件,具体页码,原文内容,JSON,备注",,"{""规则编号"": ""R1-006"", ""规则名称"": ""航煤加氢量温调整顺序规则"", ""知识类型"": ""工艺规范类"", ""子类型"": ""变负荷约束规则"", ""适用范围"": ""航煤加氢事故处理、开工和正常操作"", ""规则内容"": ""航煤加氢反应系统调整时应遵循先降温后降量、先提量后提温的顺序。"", ""来源文件"": ""延炼-航煤加氢装置操作规程.pdf"", ""具体页码"": ""page=35"", ""原文内容"": ""航煤加氢反应为放热反应，在事故处理、开工或正常操作时应遵循先降温后降量，先提量后提温原则。"", ""JSON"": ""{\""rule_id\"": \""R1-006\"", \""rule_name\"": \""航煤加氢量温调整顺序规则\"", \""knowledge_type\"": \""工艺规范类\"", \""sub_type\"": \""变负荷约束规则\"", \""applicable_scope\"": \""航煤加氢事故处理、开工和正常操作\"", \""rule_content\"": \""航煤加氢反应系统调整时应遵循先降温后降量、先提量后提温的顺序。\"", \""source_file\"": \""延炼-航煤加氢装置操作规程.pdf\"", \""locator\"": \""page=35\"", \""evidence_text\"": \""航煤加氢反应为放热反应，在事故处理、开工或正常操作时应遵循先降温后降量，先提量后提温原则。\"", \""notes\"": \""由PDF文本重新抽取，未使用v1对应规则行。\""}"", ""备注"": ""由PDF文本重新抽取，未使用v1对应规则行。""}"
工艺规范类,新增,R1-007,工艺规范类 | 其他工艺约束规则 | 航煤加氢反应器停工保护 | 航煤加氢停工氮封规则,"规则编号,规则名称,知识类型,子类型,适用范围,规则内容,来源文件,具体页码,原文内容,JSON,备注",,"{""规则编号"": ""R1-007"", ""规则名称"": ""航煤加氢停工氮封规则"", ""知识类型"": ""工艺规范类"", ""子类型"": ""其他工艺约束规则"", ""适用范围"": ""航煤加氢反应器停工保护"", ""规则内容"": ""航煤加氢反应器停工后，应以氮气充压至0.1～0.22 MPa，防止空气进入系统。"", ""来源文件"": ""延炼-航煤加氢装置操作规程.pdf"", ""具体页码"": ""page=35"", ""原文内容"": ""器停工后，应以氮气充压至0.1MPa～0.22MPa，以防空气进入。"", ""JSON"": ""{\""rule_id\"": \""R1-007\"", \""rule_name\"": \""航煤加氢停工氮封规则\"", \""knowledge_type\"": \""工艺规范类\"", \""sub_type\"": \""其他工艺约束规则\"", \""applicable_scope\"": \""航煤加氢反应器停工保护\"", \""rule_content\"": \""航煤加氢反应器停工后，应以氮气充压至0.1～0.22 MPa，防止空气进入系统。\"", \""source_file\"": \""延炼-航煤加氢装置操作规程.pdf\"", \""locator\"": \""page=35\"", \""evidence_text\"": \""器停工后，应以氮气充压至0.1MPa～0.22MPa，以防空气进入。\"", \""notes\"": \""由PDF文本重新抽取，未使用v1对应规则行。\""}"", ""备注"": ""由PDF文本重新抽取，未使用v1对应规则行。""}"
工艺规范类,新增,R1-008,工艺规范类 | 其他工艺约束规则 | 航煤加氢汽提塔液位控制 | 航煤汽提塔液位控制规则,"规则编号,规则名称,知识类型,子类型,适用范围,规则内容,来源文件,具体页码,原文内容,JSON,备注",,"{""规则编号"": ""R1-008"", ""规则名称"": ""航煤汽提塔液位控制规则"", ""知识类型"": ""工艺规范类"", ""子类型"": ""其他工艺约束规则"", ""适用范围"": ""航煤加氢汽提塔液位控制"", ""规则内容"": ""T-1601液位应控制在30%～80%，设定液位波动不应超过±5%。"", ""来源文件"": ""延炼-航煤加氢装置操作规程.pdf"", ""具体页码"": ""page=49"", ""原文内容"": ""控制范围：T-1601液位LT-10401控制30％～80％。设定的液位波动不应超过±5%。"", ""JSON"": ""{\""rule_id\"": \""R1-008\"", \""rule_name\"": \""航煤汽提塔液位控制规则\"", \""knowledge_type\"": \""工艺规范类\"", \""sub_type\"": \""其他工艺约束规则\"", \""applicable_scope\"": \""航煤加氢汽提塔液位控制\"", \""rule_content\"": \""T-1601液位应控制在30%～80%，设定液位波动不应超过±5%。\"", \""source_file\"": \""延炼-航煤加氢装置操作规程.pdf\"", \""locator\"": \""page=49\"", \""evidence_text\"": \""控制范围：T-1601液位LT-10401控制30％～80％。设定的液位波动不应超过±5%。\"", \""notes\"": \""由PDF文本重新抽取，未使用v1对应规则行。\""}"", ""备注"": ""由PDF文本重新抽取，未使用v1对应规则行。""}"
工艺规范类,新增,R1-009,工艺规范类 | 其他工艺约束规则 | 航煤加氢分馏塔顶回流罐液位控制 | 航煤回流罐液位控制规则,"规则编号,规则名称,知识类型,子类型,适用范围,规则内容,来源文件,具体页码,原文内容,JSON,备注",,"{""规则编号"": ""R1-009"", ""规则名称"": ""航煤回流罐液位控制规则"", ""知识类型"": ""工艺规范类"", ""子类型"": ""其他工艺约束规则"", ""适用范围"": ""航煤加氢分馏塔顶回流罐液位控制"", ""规则内容"": ""分馏塔顶回流罐液位LICA-10402应控制在30%～80%，设定液位波动不应超过±5%。"", ""来源文件"": ""延炼-航煤加氢装置操作规程.pdf"", ""具体页码"": ""page=50-51"", ""原文内容"": ""控制范围：分馏塔顶回流罐液位LICA-10402：30～80％。生产实际情况决定，设定的液位波动不应超过±5%。"", ""JSON"": ""{\""rule_id\"": \""R1-009\"", \""rule_name\"": \""航煤回流罐液位控制规则\"", \""knowledge_type\"": \""工艺规范类\"", \""sub_type\"": \""其他工艺约束规则\"", \""applicable_scope\"": \""航煤加氢分馏塔顶回流罐液位控制\"", \""rule_content\"": \""分馏塔顶回流罐液位LICA-10402应控制在30%～80%，设定液位波动不应超过±5%。\"", \""source_file\"": \""延炼-航煤加氢装置操作规程.pdf\"", \""locator\"": \""page=50-51\"", \""evidence_text\"": \""控制范围：分馏塔顶回流罐液位LICA-10402：30～80％。生产实际情况决定，设定的液位波动不应超过±5%。\"", \""notes\"": \""由PDF文本重新抽取，未使用v1对应规则行。\""}"", ""备注"": ""由PDF文本重新抽取，未使用v1对应规则行。""}"
工艺规范类,新增,R1-010,工艺规范类 | 其他工艺约束规则 | 航煤加氢v-1604界位控制 | 航煤回流罐界位波动规则,"规则编号,规则名称,知识类型,子类型,适用范围,规则内容,来源文件,具体页码,原文内容,JSON,备注",,"{""规则编号"": ""R1-010"", ""规则名称"": ""航煤回流罐界位波动规则"", ""知识类型"": ""工艺规范类"", ""子类型"": ""其他工艺约束规则"", ""适用范围"": ""航煤加氢V-1604界位控制"", ""规则内容"": ""V-1604界位应按指标范围控制，设定液位波动不应超过±5%。"", ""来源文件"": ""延炼-航煤加氢装置操作规程.pdf"", ""具体页码"": ""page=52"", ""原文内容"": ""V-1604界位控制在上述指标范围内，具体液位应根据生产实际情况决定，设定的液位波动不应超过±5%。"", ""JSON"": ""{\""rule_id\"": \""R1-010\"", \""rule_name\"": \""航煤回流罐界位波动规则\"", \""knowledge_type\"": \""工艺规范类\"", \""sub_type\"": \""其他工艺约束规则\"", \""applicable_scope\"": \""航煤加氢V-1604界位控制\"", \""rule_content\"": \""V-1604界位应按指标范围控制，设定液位波动不应超过±5%。\"", \""source_file\"": \""延炼-航煤加氢装置操作规程.pdf\"", \""locator\"": \""page=52\"", \""evidence_text\"": \""V-1604界位控制在上述指标范围内，具体液位应根据生产实际情况决定，设定的液位波动不应超过±5%。\"", \""notes\"": \""由PDF文本重新抽取，未使用v1对应规则行。\""}"", ""备注"": ""由PDF文本重新抽取，未使用v1对应规则行。""}"
工艺规范类,新增,R1-011,工艺规范类 | 其他工艺约束规则 | 航煤加氢开工气密升压 | 航煤气密升压速率规则,"规则编号,规则名称,知识类型,子类型,适用范围,规则内容,来源文件,具体页码,原文内容,JSON,备注",,"{""规则编号"": ""R1-011"", ""规则名称"": ""航煤气密升压速率规则"", ""知识类型"": ""工艺规范类"", ""子类型"": ""其他工艺约束规则"", ""适用范围"": ""航煤加氢开工气密升压"", ""规则内容"": ""气密压力在1.0 MPa以上时，升压速度不应超过1.0 MPa/h，并应引新氢进行气密。"", ""来源文件"": ""延炼-航煤加氢装置操作规程.pdf"", ""具体页码"": ""page=62"", ""原文内容"": ""压力在1.0MPa以上的，升压速度为≯1.0MPa/h，并且要引新氢进行气密。"", ""JSON"": ""{\""rule_id\"": \""R1-011\"", \""rule_name\"": \""航煤气密升压速率规则\"", \""knowledge_type\"": \""工艺规范类\"", \""sub_type\"": \""其他工艺约束规则\"", \""applicable_scope\"": \""航煤加氢开工气密升压\"", \""rule_content\"": \""气密压力在1.0 MPa以上时，升压速度不应超过1.0 MPa/h，并应引新氢进行气密。\"", \""source_file\"": \""延炼-航煤加氢装置操作规程.pdf\"", \""locator\"": \""page=62\"", \""evidence_text\"": \""压力在1.0MPa以上的，升压速度为≯1.0MPa/h，并且要引新氢进行气密。\"", \""notes\"": \""由PDF文本重新抽取，未使用v1对应规则行。\""}"", ""备注"": ""由PDF文本重新抽取，未使用v1对应规则行。""}"
