小项覆盖情况说明

以下小项来自第五轮PDF逐页复核版总表。

操作规程规则 | 开工操作步骤 | 已提取 | 规则058；规则059；规则060 | 第五轮PDF逐页复核后共有5条相关规则。
操作规程规则 | 正常运行操作步骤 | 已提取 | 规则078；规则079；规则080 | 第五轮PDF逐页复核后共有11条相关规则。
操作规程规则 | 停工操作步骤 | 已提取 | 规则008；规则009；规则010 | 第五轮PDF逐页复核后共有3条相关规则。
操作规程规则 | 异常处理 | 已提取 | 规则063；规则064；规则065 | 第五轮PDF逐页复核后共有7条相关规则。
操作规程规则 | 关键工艺参数控制范围与调整方法 | 已提取 | 规则011；规则012；规则013 | 第五轮PDF逐页复核后共有38条相关规则。
操作规程规则 | 设备启停、切换、巡检、维护操作要求 | 已提取 | 规则111；规则112；规则113 | 第五轮PDF逐页复核后共有13条相关规则。
操作规程规则 | 联锁、报警、紧急停车操作原则 | 已提取 | 规则103；规则104；规则105 | 第五轮PDF逐页复核后共有8条相关规则。
操作规程规则 | 物料收付、调合、输送安全操作 | 已提取 | 规则089；规则090；规则091 | 第五轮PDF逐页复核后共有14条相关规则。
操作规程规则 | 采样、分析、质量控制操作规范 | 已提取 | 规则124；规则125；规则126 | 第五轮PDF逐页复核后共有9条相关规则。
操作规程规则 | 安全环保、防静电、防泄漏、防超温超压强制条款 | 已提取 | 规则049；规则050；规则051 | 第五轮PDF逐页复核后共有9条相关规则。
操作规程规则 | 交接班、记录填写、操作票执行管理要求 | 已提取 | 规则001；规则002；规则003 | 第五轮PDF逐页复核后共有7条相关规则。
操作规程规则 | 极端天气要求 | 已提取 | 规则070；规则071；规则072 | 第五轮PDF逐页复核后共有8条相关规则。
质量标准规则 | 原油质量标准 | 已提取 | 规则186；规则187；规则188 | 第五轮PDF逐页复核后共有5条相关规则。
质量标准规则 | 组分质量标准 | 已提取 | 规则191；规则192；规则193 | 第五轮PDF逐页复核后共有19条相关规则。
质量标准规则 | 产品质量标准 | 已提取 | 规则163；规则164；规则165 | 第五轮PDF逐页复核后共有23条相关规则。
质量标准规则 | 通用质量管控 | 已提取 | 规则210；规则211；规则212 | 第五轮PDF逐页复核后共有6条相关规则。
流程特征规则 | 装置间物料平衡 | 已提取 | 规则155；规则156；规则157 | 第五轮PDF逐页复核后共有8条相关规则。
流程特征规则 | 单元间物料平衡 | 已提取 | 规则153 | 第五轮PDF逐页复核后共有1条相关规则。
流程特征规则 | 能量耦合 | 已提取 | 规则154 | 第五轮PDF逐页复核后共有1条相关规则。
流程特征规则 | 上下游协同逻辑 | 已提取 | 规则133；规则134；规则135 | 第五轮PDF逐页复核后共有20条相关规则。
